課次,認知層次,題目內容,選項A,選項B,選項C,選項D,正確答案,命題解析
L1 最美的模樣,理解推論,作者最後體悟到「最美的模樣」是指哪一種狀態？,穿著最新潮且最昂貴的衣服,擁有一顆自信且善良的內心,擁有讓所有人都羨慕的長相,每天在鏡子前練習完美的表情,B,內在美才是本課強調的核心價值。
L1 最美的模樣,事實提取,文中主角一開始對自己的外表有什麼感覺？,完全不在乎別人的眼光與看法,認為自己是全世界最漂亮的人,覺得自己不夠完美而感到沮喪,覺得自己只要穿新鞋就會變美,C,描述主角尋找自信的起點。
L1 最美的模樣,推論整合,主角最後如何找到屬於自己的自信？,透過認可自己的優點並接受缺點,透過不斷整容來改變原本的樣貌,透過購買各種名牌包包來裝飾,透過嘲笑別人來讓自己顯得高級,A,展現正向成長與自我認同。
L1 最美的模樣,應用評論,當同學對外表沒信心時，哪種建議最符合本課精神？,發掘你的內在優點會讓你更有神,你可以去試試看最新的化妝產品,那就少出門別人就不會看到了,你應該多運動來讓身材變更苗條,A,將課文道理延伸至人際互動。
L1 最美的模樣,事實提取,關於課文中主角的轉變，下列敘述何者正確？,從追求外在打扮轉向充實內在,從喜歡讀書轉向喜歡戶外運動,從沈默寡言轉向變得喜歡吵架,從住在城市轉向搬到山區居住,A,核心情節轉折檢核。
L1 最美的模樣,理解推論,為什麼「笑容」在文中被提到是美的一部分？,因為笑容可以掩蓋臉上所有缺點,因為笑容展現了內心的開朗自信,因為笑容是參加選美比賽的規範,因為笑容可以讓牙齒變得更加潔白,B,情感表現與內在美連結。
L1 最美的模樣,推論整合,文中提到「鏡子」的作用在故事前後有何不同？,從觀察外表瑕疵轉為反省內在心理,從梳理頭髮的工具轉為防身的武器,從實驗光的反射轉為裝飾牆面的飾品,從原本非常清晰轉為變得模糊不清,A,象徵意義的層次轉變。
L1 最美的模樣,事實提取,主角認為漂亮的衣服帶給他的感覺是？,讓他的功課成績突然突飛猛進,帶來短暫的快樂但無法填補自卑,讓他變成了具備超能力的超級英雄,讓他從此以後再也不需要認真讀書,B,物質滿足與心理需求的對比。
L1 最美的模樣,推論整合,這課最想告訴讀者的道理是？,只有長得漂亮的人才能獲得成功,自信的來源不應建立在物質外表,買衣服前應該先貨比三家才聰明,每個人都應該學會如何設計服裝,B,主旨理解。
L1 最美的模樣,應用評論,下列哪種行為不符合「最美的模樣」？,主動幫助弱小並保持謙虛的態度,因為長相普通就對自己感到很絕望,在遇到困難時依然保持開朗笑容,接受自己的不完美並努力去學習,B,價值觀判斷。
L2 玩玩具,事實提取,文中提到玩具除了好玩，還能幫助我們學到什麼？,如何快速在網路商店購買新品,隱藏在遊戲背後的科學原理,收集玩具可以換取高額的獎金,如何模仿廣告中模特兒的動作,B,強調寓教於樂。
L2 玩玩具,理解推論,為什麼作者認為「自己動手改造玩具」很有意義？,因為能發揮創意並增加思考廣度,因為可以省下買新玩具的零用錢,因為改造後的玩具可以賣到高價,因為這樣就不用跟其他小朋友分享,A,創意與動手做的價值。
L2 玩玩具,推論整合,玩積木時如果一直倒塌，這能訓練我們什麼？,訓練我們力氣變大好搬動重物,訓練我們耐心解決問題與韌性,讓我們知道玩玩具是很累的事情,教我們如何快速放棄不成功的作品,A,挫折教育與耐性的培養。
L2 玩玩具,事實提取,文中提到哪一種玩具可以觀察到「平衡」的道理？,需要裝電池才能跑的遙控賽車,可以旋轉很久而不倒下的陀螺,會發出各種電子聲響的絨毛娃娃,放在盒子裡不會動的靜態模型,B,科學原理結合。
L2 玩玩具,理解推論,玩具對兒童成長的正面影響不包括？,訓練手眼協調與精細動作的發展,養成凡事都要買最新產品的習慣,學會遵守遊戲規則與社交互動,激發對於物理現象的好奇與探索,B,辨識正確的教育目標。
L2 玩玩具,事實提取,文中提到與朋友一起玩玩具時，應注意什麼？,保護好自己的玩具不讓別人碰到,學習如何分享資源並共同創造快樂,比賽誰的玩具數量多且價格昂貴,要求別人都必須聽從自己的指令,B,人際與共享。
L2 玩玩具,推論整合,「玩具是微型世界」這句話的意思是？,玩具的尺寸通常都做得非常小巧,玩具反映了現實生活中的各類運作,玩具是來自於外星球的微小生物,玩具只能在非常小的空間裡面玩耍,B,抽象概念推論。
L2 玩玩具,事實提取,作者對於舊玩具的處理態度通常是？,因為變舊了就立刻當成垃圾丟掉,思考如何修復或賦予它新的玩法,要求父母立刻買全新的來替換它,將舊玩具藏起來不讓任何人發現,B,珍惜與創造力。
L2 玩玩具,應用評論,若小明想開發新玩具，他最該具備的特質是？,具備敏銳的觀察力與豐富想像力,擁有能買下所有材料的龐大資金,具備能說服別人買單的說話術,擁有全班最高分的學科考試成績,A,特質轉化應用。
L2 玩玩具,理解推論,為什麼這課將玩玩具視為一種「學習」？,因為玩玩具時也需要動腦解決問題,因為玩玩具必須要在補習班裡進行,因為玩玩具可以讓我們不用去上學,因為玩玩具的過程中有老師在計分,A,學習定義的擴展。
L3 愛玉的變身術,事實提取,揉搓愛玉子時，手部會有什麼樣的特殊觸感？,感覺到滑溜溜且黏稠的膠質感,感覺到非常有顆粒感的沙石感,感覺到非常冰冷且刺痛的冰凍感,感覺到像是在摸乾草般的乾燥感,A,描述愛玉子釋放果膠的過程。
L3 愛玉的變身術,理解推論,搓洗愛玉時為什麼不能使用「過濾後的純水」？,因為純水的水質太乾淨不具美感,因為果膠凝固需要水中的礦物質,因為純水會讓愛玉變得太過酸澀,因為純水無法徹底洗淨愛玉子皮,B,科學原理：果膠與鈣離子反應。
L3 愛玉的變身術,推論整合,愛玉被稱為「變身術」的原因主要是？,它能從透明的水變成固體的果凍,它在陽光下會呈現七彩的變色光,它能隨意變換成各種動物的形狀,它在搓洗後會發出巨大的爆炸聲,A,物理狀態的轉變。
L3 愛玉的變身術,事實提取,愛玉子是屬於哪一個國家的特有種植物？,日本,台灣,韓國,美國,B,文化與生態背景。
L3 愛玉的變身術,理解推論,在洗愛玉的過程中，裝愛玉子的袋子應？,選用網目細緻的紗布袋或棉布袋,使用完全不透氣的塑膠封口袋,直接將愛玉子倒入水中不需袋子,選用厚重的帆布袋以防果膠流出,A,技術細節與邏輯。
L3 愛玉的變身術,事實提取,洗好的愛玉水，通常需要放置多久才會凝固？,大約三秒鐘就會立刻變成固體,靜置一段時間讓分子結構穩定,需要放在爐火上面持續加熱煮沸,必須拿到室外曬太陽才會變硬,B,過程與現象觀察。
