課次,認知層次,題目內容,選項A,選項B,選項C,選項D,正確答案,命題解析
L1 火旁龍慶元宵,事實提取,關於苗栗客家『火旁龍』的文化意義，下列敘述何者正確？,龍隊隊員體力耗盡無法繼續表演,為了向鄰近部落展示武力與財力,代表活動正式結束且將神靈送回上天,這是一種浪費資源且不環保的行為,C,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,事實提取,火旁龍活動中的『化龍返天』象徵什麼？,龍隊隊員體力耗盡無法繼續表演,代表活動正式結束且將神靈送回上天,這是一種浪費資源且不環保的行為,為了向鄰近部落展示武力與財力,B,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,應用評論,火旁龍活動中的『化龍返天』象徵什麼？,代表活動正式結束且將神靈送回上天,龍隊隊員體力耗盡無法繼續表演,為了向鄰近部落展示武力與財力,這是一種浪費資源且不環保的行為,A,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,應用評論,火旁龍活動中的『化龍返天』象徵什麼？,為了向鄰近部落展示武力與財力,龍隊隊員體力耗盡無法繼續表演,代表活動正式結束且將神靈送回上天,這是一種浪費資源且不環保的行為,C,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,理解整合,火旁龍活動中的『化龍返天』象徵什麼？,為了向鄰近部落展示武力與財力,這是一種浪費資源且不環保的行為,代表活動正式結束且將神靈送回上天,龍隊隊員體力耗盡無法繼續表演,C,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,事實提取,火旁龍活動中的『化龍返天』象徵什麼？,龍隊隊員體力耗盡無法繼續表演,代表活動正式結束且將神靈送回上天,這是一種浪費資源且不環保的行為,為了向鄰近部落展示武力與財力,B,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,理解整合,火旁龍活動中的『化龍返天』象徵什麼？,龍隊隊員體力耗盡無法繼續表演,這是一種浪費資源且不環保的行為,代表活動正式結束且將神靈送回上天,為了向鄰近部落展示武力與財力,C,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,理解整合,火旁龍活動中的『化龍返天』象徵什麼？,為了向鄰近部落展示武力與財力,代表活動正式結束且將神靈送回上天,龍隊隊員體力耗盡無法繼續表演,這是一種浪費資源且不環保的行為,B,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,應用評論,火旁龍活動中的『化龍返天』象徵什麼？,這是一種浪費資源且不環保的行為,代表活動正式結束且將神靈送回上天,為了向鄰近部落展示武力與財力,龍隊隊員體力耗盡無法繼續表演,B,高品質命題解析：根據課文主旨與細節設計。
L1 火旁龍慶元宵,應用評論,火旁龍活動中的『化龍返天』象徵什麼？,龍隊隊員體力耗盡無法繼續表演,為了向鄰近部落展示武力與財力,這是一種浪費資源且不環保的行為,代表活動正式結束且將神靈送回上天,D,高品質命題解析：根據課文主旨與細節設計。
