commit	phase	subject	publisher	lesson	CQI-P	CQI-V	Match%	RM	status	desc	ts
83c1019	2a	Social	HanLin	L1	-	-	-	-	keep	我居住的地方：地址辨識/社區定義/好鄰居行為，出題頻次12+，迷思矩陣6條	2026-04-30 14:09
83c1019	2a	Social	HanLin	L2	-	-	-	-	keep	多元的生活空間：都市鄉村比較/地形空間/多元文化，出題頻次18+，迷思矩陣7條	2026-04-30 14:09
83c1019	2a	Social	HanLin	L3	-	-	-	-	keep	生活中的各行各業：五大產業/職業配對/分工合作，出題頻次20+，迷思矩陣7條	2026-04-30 14:09
83c1019	2a	Social	HanLin	L4	-	-	-	-	keep	生活與工作的轉變：早期vs現代食衣住行/農業科技，出題頻次16+，迷思矩陣6條	2026-04-30 14:09
83c1019	2a	Social	HanLin	L5	-	-	-	-	keep	儲蓄與消費的選擇：需要想要/付費方式5種/消費者保護，出題頻次14+，迷思矩陣7條	2026-04-30 14:09
83c1019	2a	Social	HanLin	L6	-	-	-	-	keep	小小街道觀察家：里長服務/社區問題探究/地方節慶，出題頻次10+，迷思矩陣7條	2026-04-30 14:09
83c1019	2a	Social	KangHsuan	L1	-	-	-	RM2	keep	150+題/20+校，行政單位+行政機關+新住民	2026-04-30T14:00
83c1019	2a	Social	KangHsuan	L2	-	-	-	RM2	keep	80+題/15+校，公共設施+場所功能	2026-04-30T14:00
83c1019	2a	Social	KangHsuan	L3	-	-	-	RM2	keep	100+題/18+校，交易工具演進+消費方式	2026-04-30T14:00
83c1019	2a	Social	KangHsuan	L4	-	-	-	RM2	keep	120+題/20+校，消費選擇+環保標章+廣告辨識	2026-04-30T14:00
83c1019	2a	Social	KangHsuan	L5	-	-	-	RM2	keep	80+題/14+校，地名由來+探索方法	2026-04-30T14:00
83c1019	2a	Social	KangHsuan	L6	-	-	-	RM2	keep	90+題/14+校，家鄉故事+特產+古蹟保存	2026-04-30T14:00
af70e64	2a	Social	NanYi	L1	-	-	-	RM2	keep	80+題/11校，都市鄉村比較/地圖種類/訪談禮節，迷思矩陣7條	2026-04-30T14:30
af70e64	2a	Social	NanYi	L2	-	-	-	RM2	keep	70+題/10校，民俗節慶/地方資源/鄰里關係，迷思矩陣7條	2026-04-30T14:30
af70e64	2a	Social	NanYi	L3	-	-	-	RM2	keep	60+題/6校，需要想要/貨幣演進/記帳理財，迷思矩陣7條	2026-04-30T14:30
af70e64	2a	Social	NanYi	L4	-	-	-	RM2	β+_keep	50+題/5校，地名四分類/地方人物故事，迷思矩陣6條（來源稀缺警告：集中於勝利111）	2026-04-30T14:30
af70e64	2a	Social	NanYi	L5	-	-	-	RM2	keep	110+題/9校，三種地方組織/各類志工/問題改善步驟，迷思矩陣7條	2026-04-30T14:30
